author_id,first_year,membership,degree_overall,degree_active,degree_backbone
author_137975,2020,Backbone,17,6,3
author_49237,2012,Backbone,13,6,3
author_85069,2016,Backbone,13,6,3
author_127019,2019,Backbone,7,6,3
author_116377,2019,Backbone,6,6,3
author_15776,2008,Backbone,29,5,3
author_15780,2008,Backbone,19,5,3
author_134352,2020,Backbone,9,5,3
author_976,2006,Backbone,6,5,3
author_137973,2020,Backbone,5,4,3
author_181864,2023,Backbone,77,58,2
author_69800,2015,Backbone,75,58,2
author_175796,2023,Backbone,75,57,2
author_181861,2023,Backbone,74,57,2
author_148041,2021,Backbone,95,56,2
author_44222,2012,Backbone,75,48,2
author_62926,2014,Backbone,100,47,2
author_78864,2015,Backbone,56,46,2
author_45329,2012,Backbone,70,44,2
author_39515,2011,Backbone,91,43,2
author_58757,2013,Backbone,55,42,2
author_112432,2018,Backbone,72,39,2
author_7813,2007,Backbone,46,39,2
author_38748,2011,Backbone,68,35,2
author_96915,2017,Backbone,53,35,2
author_58095,2013,Backbone,58,34,2
author_68410,2014,Backbone,57,33,2
author_76760,2015,Backbone,39,33,2
author_37433,2011,Backbone,54,32,2
author_97050,2017,Backbone,39,32,2
author_58744,2013,Backbone,47,30,2
author_80728,2016,Backbone,39,30,2
author_95975,2017,Backbone,50,29,2
author_21438,2009,Backbone,49,29,2
author_44232,2012,Backbone,46,29,2
author_83826,2016,Backbone,64,28,2
author_44192,2012,Backbone,50,28,2
author_125187,2019,Backbone,32,28,2
author_1301,2006,Backbone,38,27,2
author_15706,2008,Backbone,44,26,2
author_62682,2014,Backbone,43,26,2
author_83062,2016,Backbone,31,26,2
author_64204,2014,Backbone,45,25,2
author_107117,2018,Backbone,40,25,2
author_21433,2009,Backbone,37,25,2
author_39769,2011,Backbone,34,25,2
author_70066,2015,Backbone,28,25,2
author_34744,2011,Backbone,26,25,2
author_195641,2024,Backbone,38,24,2
author_141237,2020,Backbone,31,24,2
author_4330,2006,Backbone,29,24,2
author_95901,2017,Backbone,47,23,2
author_39504,2011,Backbone,45,23,2
author_13820,2008,Backbone,35,23,2
author_89838,2016,Backbone,32,23,2
author_117281,2019,Backbone,27,23,2
author_56609,2013,Backbone,27,23,2
author_5221,2006,Backbone,26,23,2
author_14974,2008,Backbone,26,23,2
author_19364,2009,Backbone,51,22,2
author_10936,2007,Backbone,29,22,2
author_16364,2008,Backbone,26,22,2
author_19426,2009,Backbone,23,22,2
author_50797,2013,Backbone,43,21,2
author_56709,2013,Backbone,41,21,2
author_45826,2012,Backbone,40,21,2
author_123916,2019,Backbone,38,21,2
author_132810,2020,Backbone,37,21,2
author_103599,2018,Backbone,37,21,2
author_90264,2016,Backbone,33,21,2
author_141236,2020,Backbone,33,21,2
author_26542,2010,Backbone,32,21,2
author_7822,2007,Backbone,31,21,2
author_16317,2008,Backbone,27,21,2
author_37740,2011,Backbone,26,21,2
author_162779,2022,Backbone,23,21,2
author_65779,2014,Backbone,51,20,2
author_56429,2013,Backbone,39,20,2
