k,k_over_n,alpha_weighted,alpha_unweighted
9023,0.5270751796249781,0.10642367145809765,0.17009005087466333
9024,0.5271335942520007,0.10647174966930739,0.1701352049838135
9025,0.5271920088790233,0.10651982270717052,0.17018035417970132
9026,0.5272504235060459,0.10656789057252201,0.17022549846312868
9027,0.5273088381330685,0.10661595326619663,0.17027063783489732
9028,0.5273672527600911,0.10666401078902898,0.17031577229580874
9029,0.5274256673871137,0.10671206314185347,0.1703609018466643
9030,0.5274840820141363,0.10676011032550432,0.17040602648826522
9031,0.5275424966411589,0.10680822419580015,0.17045114622141244
9032,0.5276009112681815,0.10685635833876886,0.17049626104690688
