Year,CommunityID,Size,Avg_Degree,Avg_Weighted_Degree,Avg_Citations_Per_Paper,Total_Citations,Paper_Count
2014,49,67,7.7164,1.4676,61.1974,4651,76
2014,50,23,2.9565,2.1594,58.1081,2150,37
2014,51,28,3.4286,2.6756,65.2812,4178,64
2014,52,11,3.8182,3.8333,41.1905,865,21
2014,53,26,6.5769,1.567,45.7308,1189,26
2014,54,17,4.5294,2.7972,46.9583,1127,24
2014,55,29,3.1724,2.5747,52.3793,3038,58
2014,56,32,2.7812,2.2693,124.3676,8457,68
2014,57,53,3.7358,2.5732,103.7544,11828,114
2014,58,22,2.6818,3.2955,40.0943,2125,53
2014,59,30,3.1667,2.6333,99.6667,6279,63
2015,1,73,5.9726,4.3562,58.8697,14011,238
2015,2,857,8.3477,2.0581,52.4764,48908,932
2015,3,267,4.5918,3.0262,108.932,59259,544
2015,4,118,3.1186,2.6765,18.1837,5346,294
2015,5,147,4.2585,4.0615,41.0964,18329,446
2015,6,98,4.6531,3.102,92.2755,18086,196
2015,7,40,3.45,2.8396,19.0217,1750,92
2015,8,64,3.3438,2.4714,164.5,22701,138
2015,9,41,3.9024,2.9011,81.5882,8322,102
2015,10,128,4.5469,3.023,110.2389,32300,293
2015,11,236,4.4322,3.0576,77.4544,36481,471
2015,12,31,3.3871,3.9677,38.2396,3671,96
2015,13,118,5.1017,4.8778,33.531,14083,420
2015,14,153,4.0654,2.7672,31.9928,13373,418
2015,15,24,4.625,2.996,68.6444,3089,45
2015,16,53,2.8113,2.006,65.6048,8135,124
2015,17,51,3.2745,3.0303,42.8623,7158,167
2015,18,151,5.9007,5.2554,80.0709,33870,423
2015,19,124,3.3629,2.8082,65.6406,18445,281
2015,20,45,4.6667,4.8496,25.5938,4095,160
2015,21,44,3.25,2.7992,23.582,2877,122
2015,22,64,5.3594,2.4591,64.2812,6171,96
2015,23,70,4.4286,2.6779,149.2966,21648,145
2015,24,78,5.8718,4.899,22.4258,4687,209
2015,25,51,4.3922,3.5222,51.5133,5821,113
2015,26,18,3.2778,1.706,40.9429,1433,35
2015,27,78,4.1282,2.769,104.0867,15613,150
2015,28,26,3.5769,2.5064,63.9412,3261,51
2015,29,58,4.1897,2.8649,54.8291,6415,117
2015,30,17,2.6471,1.6961,63.8298,3000,47
2015,31,60,3.8,2.1807,73.9623,7840,106
2015,32,9,2.5556,2.5926,131.7857,1845,14
2015,33,18,3.3333,3.0455,56.6,2264,40
2015,34,124,4.4839,4.8292,54.539,23070,423
2015,35,23,3.1739,2.8478,108.9804,5558,51
2015,36,26,3.0385,2.8526,26.8529,1826,68
2015,37,65,2.9077,2.2082,42.2612,5663,134
2015,38,130,5.8462,3.7642,90.0278,25928,288
2015,39,101,3.495,2.2042,131.9531,25335,192
2015,40,20,2.55,2.2889,33.0526,1256,38
2015,41,52,3.25,2.1667,49.9018,5589,112
2015,42,8,2.625,3.3542,38.0526,723,19
2015,43,63,4.4603,4.2816,38.6471,5913,153
2015,44,35,3.3143,2.2229,23.4382,2086,89
2015,45,24,3.125,2.9125,45.5,2548,56
2015,46,8,5.25,1.7583,28.125,225,8
2015,47,16,2.3125,3.7396,24.5507,1694,69
2015,48,23,2.9565,2.2029,57.2,2288,40
2015,49,32,3.2188,2.762,33.0152,2179,66
2015,50,23,5.4783,2.833,29.3548,910,31
2015,51,16,2.8125,4.0167,45.8913,2111,46
2015,52,31,3.3226,2.7715,99.3429,6954,70
2015,53,13,3.3846,3.2843,37.8378,1400,37
2016,1,210,4.9524,3.2305,109.9044,47149,429
2016,2,173,9.237,2.4858,47.0259,9076,193
2016,3,100,3.68,2.839,20.7204,4372,211
2016,4,178,4.191,3.1348,99.3464,40434,407
2016,5,25,4.64,3.0362,67.2449,3295,49
2016,6,144,4.9375,3.3598,68.7418,21035,306
2016,7,88,4.0682,4.7326,48.9195,14578,298
2016,8,317,12.1483,2.2983,61.2312,21186,346
2016,9,44,2.8182,2.6439,16.7209,2157,129
2016,10,74,3.6757,2.5668,73.4056,10497,143
2016,11,155,5.3484,4.5046,20.6083,8470,411
2016,12,421,5.3753,5.0452,58.124,74515,1282
2016,13,16,3.5,1.8411,39.5714,1385,35
2016,14,61,12.1148,1.7822,58.7358,3113,53
2016,15,133,7.2105,2.0644,48.5108,9023,186
2016,16,53,4.6226,4.6252,43.35,8670,200
2016,17,171,5.8246,3.714,79.0811,29260,370
2016,18,150,3.6933,2.9017,66.6781,23404,351
2016,19,82,4.9756,2.8914,41.2731,8915,216
2016,20,100,4.23,2.9121,114.8791,24699,215
2016,21,60,2.9833,2.236,41.1511,5720,139
2016,22,38,3.3421,2.6588,151.1146,14507,96
2016,23,75,4.32,4.2587,36.9548,7354,199
2016,24,75,4.4267,2.9822,92.1418,12992,141
2016,25,69,6.8696,1.2948,51.7024,4343,84
2016,26,27,3.5185,4.1728,40.0658,3045,76
2016,27,33,4.697,3.5535,30.6923,3990,130
2016,28,98,5.7959,4.3313,64.0727,18517,289
2016,29,55,6.2,2.5123,42.6133,3196,75
2016,30,16,5.4375,1.2864,39.8,597,15
2016,31,56,3.3929,2.2479,20.7337,3504,169
2016,32,59,3.4237,2.6616,45.2293,7101,157
2016,33,111,5.3514,1.6234,53.8862,6628,123
2016,34,41,5.6341,2.8589,23.6857,1658,70
2016,35,23,3.6957,2.9783,95.3265,4671,49
2016,36,47,4.1702,2.7305,84.65,6772,80
2016,37,43,3.907,2.9961,42.8553,6514,152
2016,38,62,3.3548,3.2147,45.9801,9242,201
2016,39,66,3.8333,2.9553,68.8889,10540,153
2016,40,32,3.125,3.2365,36.2179,2825,78
2016,41,62,4.0161,2.3553,69.4786,8129,117
2016,42,45,4.3778,3.0747,105.9182,11651,110
2016,43,66,3.7879,1.9217,159.5567,15477,97
2016,44,59,4.7458,2.8964,26.1125,4178,160
2016,45,34,7.1176,1.6711,40.3143,1411,35
2016,46,20,3.2,2.1942,41.6327,2040,49
2016,47,111,4.009,2.6956,77.2252,17144,222
2016,48,20,3.2,3.041,54.413,2503,46
2016,49,56,5.2143,5.2072,27.7532,4385,158
2016,50,29,6.5862,1.9493,76.1935,2362,31
2016,51,20,3.9,3.1125,13.9592,684,49
2016,52,50,3.72,2.801,30.6703,2791,91
2016,53,18,2.7222,4.0926,23.1351,1712,74
